id,injection
59290,True
54992,True
64287,True
28821,False
27825,False
74446,True
71873,True
87153,True
76096,True
42354,False
41055,False
33516,False
101157,True
74110,True
44176,False
16094,False
83110,True
76039,True
43379,False
20021,False
53171,False
100344,True
94425,True
88449,True
78054,True
97498,True
71720,True
81271,True
60015,True
53814,False
13209,False
22688,False
56144,True
57671,True
85649,True
8868,False
92795,True
93692,True
59914,True
83866,True
94975,True
74994,True
93205,True
53629,False
94626,True
69454,True
7454,False
45689,False
3788,False
98144,True
90437,True
31227,False
97516,True
57845,True
96686,True
80978,True
1909,False
51863,False
6247,False
29481,False
74544,True
9509,False
25291,False
85111,True
35367,False
29003,False
81866,True
41189,False
6038,False
54666,True
8,False
86129,True
16445,False
88020,True
10575,False
95552,True
3407,False
64337,True
40277,False
66800,True
5030,False
88561,True
44618,False
39478,False
68961,True
2127,False
22987,False
77889,True
22233,False
2657,False
70186,True
38647,False
19164,False
44466,False
96296,True
95803,True
75795,True
7168,False
56903,True
59278,True
104961,True
7788,False
66269,True
17321,False
13416,False
56722,True
59001,True
52514,False
1956,False
1361,False
24361,False
66424,True
80186,True
16602,False
65936,True
38692,False
15780,False
44145,False
36086,False
51263,False
4920,False
64414,True
34233,False
11663,False
37925,False
51906,False
67472,True
87782,True
42174,False
45786,False
88549,True
62323,True
102076,True
19585,False
102646,True
30838,False
40377,False
88957,True
71288,True
19259,False
29829,False
70755,True
102256,True
76151,True
46753,False
88730,True
70024,True
86204,True
87091,True
33744,False
74112,True
72567,True
76001,True
18716,False
91717,True
34555,False
68643,True
95288,True
16320,False
28569,False
33145,False
53745,False
19879,False
88735,True
77927,True
82953,True
19269,False
23710,False
56957,True
13335,False
76153,True
89627,True
2447,False
9983,False
59619,True
94632,True
62568,True
50075,False
54026,True
61563,True
34468,False
31485,False
10281,False
40171,False
47503,False
90797,True
32199,False
7281,False
95683,True
88935,True
36675,False
93902,True
22758,False
20193,False
83607,True
10970,False
8924,False
42844,False
76761,True
57373,True
1368,False
3774,False
69351,True
49551,False
3043,False
23968,False
83580,True
94979,True
73300,True
8471,False
53943,False
37386,False
36882,False
2085,False
34930,False
70975,True
27501,False
58031,True
42272,False
74338,True
87098,True
20672,False
32295,False
89322,True
14561,False
36887,False
36331,False
24256,False
88205,True
13458,False
68946,True
6752,False
64739,True
47434,False
67645,True
3394,False
36217,False
20818,False
99956,True
63117,True
96238,True
4935,False
52581,False
5566,False
68621,True
42508,False
24404,False
14307,False
6707,False
36269,False
96499,True
102558,True
86418,True
99641,True
79425,True
24580,False
35163,False
49106,False
104810,True
92243,True
13851,False
89817,True
43338,False
97355,True
13496,False
23912,False
73286,True
88656,True
30995,False
99567,True
46915,False
43872,False
68519,True
16639,False
25859,False
43973,False
99529,True
71669,True
21635,False
27281,False
38648,False
45372,False
55262,True
73169,True
87200,True
102500,True
30664,False
72372,True
6810,False
11644,False
86772,True
90641,True
12652,False
5279,False
56096,True
14146,False
28241,False
49036,False
80032,True
60207,True
23704,False
13436,False
55734,True
55069,True
96105,True
40226,False
29193,False
11764,False
34166,False
14012,False
17429,False
100488,True
87155,True
30625,False
103879,True
46743,False
43617,False
32666,False
82713,True
11040,False
57005,True
31943,False
99519,True
72759,True
99400,True
21035,False
19510,False
10907,False
9768,False
20714,False
80252,True
43372,False
90386,True
68577,True
37737,False
85454,True
90632,True
80865,True
4322,False
64718,True
46388,False
91826,True
84353,True
102535,True
98238,True
94720,True
34246,False
104728,True
26370,False
1596,False
67224,True
28107,False
63386,True
22854,False
30397,False
100676,True
25637,False
66400,True
40240,False
42782,False
48667,False
78745,True
81578,True
79488,True
41653,False
13900,False
1375,False
69551,True
84310,True
86543,True
36937,False
96911,True
66281,True
700,False
74100,True
44931,False
47605,False
63385,True
14980,False
42344,False
28375,False
62142,True
45329,False
95859,True
92188,True
63435,True
76898,True
56492,True
87037,True
8415,False
2499,False
33350,False
68593,True
46851,False
19577,False
61821,True
81930,True
60143,True
89388,True
62175,True
105787,True
69309,True
11175,False
28943,False
104859,True
65260,True
57760,True
68210,True
103823,True
95776,True
79314,True
65040,True
50329,False
32198,False
89892,True
92210,True
56525,True
11194,False
89209,True
44391,False
23751,False
41231,False
34951,False
20224,False
60599,True
23511,False
65925,True
60162,True
11261,False
74750,True
11476,False
34118,False
19032,False
105804,True
70738,True
75979,True
7856,False
78316,True
29902,False
18801,False
76294,True
38085,False
29598,False
104333,True
7093,False
69368,True
63448,True
81188,True
2257,False
50146,False
30692,False
28387,False
45196,False
90297,True
68857,True
74894,True
48689,False
24938,False
29146,False
61403,True
63886,True
101539,True
12313,False
30611,False
20093,False
7602,False
66618,True
19172,False
101895,True
91542,True
92040,True
100032,True
68476,True
105613,True
62587,True
65441,True
16184,False
83265,True
52579,False
80614,True
45599,False
6717,False
39373,False
29397,False
72430,True
63248,True
25290,False
15306,False
97816,True
79632,True
82793,True
39378,False
62224,True
999,False
6263,False
4644,False
29364,False
46379,False
3880,False
18634,False
53,False
70775,True
104551,True
10651,False
78491,True
3356,False
57952,True
88511,True
49096,False
38858,False
41425,False
91455,True
75804,True
28574,False
31817,False
15915,False
6140,False
76487,True
30129,False
38981,False
32587,False
16530,False
45239,False
36260,False
47012,False
94552,True
38086,False
3828,False
12064,False
72479,True
83203,True
9529,False
54949,True
43464,False
59691,True
91408,True
70882,True
49381,False
8927,False
76183,True
43937,False
82539,True
84028,True
90451,True
52558,False
83096,True
60850,True
51929,False
54876,True
36435,False
56027,True
62979,True
57088,True
2476,False
25991,False
69691,True
58308,True
88848,True
23570,False
11310,False
90502,True
5954,False
24210,False
47809,False
98112,True
2519,False
50603,False
77177,True
5681,False
86331,True
85966,True
41933,False
66994,True
16819,False
91229,True
74885,True
31530,False
30326,False
62292,True
86159,True
6773,False
48869,False
8203,False
103877,True
9333,False
10370,False
21287,False
100575,True
43839,False
35383,False
56796,True
97731,True
2117,False
94661,True
38957,False
31858,False
36001,False
43241,False
46422,False
103913,True
46847,False
15158,False
9586,False
41902,False
82774,True
79980,True
103722,True
100311,True
28409,False
25357,False
99814,True
19316,False
84392,True
101994,True
34167,False
29960,False
41490,False
11811,False
58245,True
65306,True
84382,True
93072,True
102895,True
18381,False
37085,False
84314,True
37510,False
98119,True
105228,True
102930,True
27620,False
94079,True
84855,True
81713,True
89485,True
31491,False
67493,True
52353,False
26537,False
87222,True
94014,True
34686,False
56362,True
101870,True
51122,False
31373,False
46965,False
1760,False
21740,False
87217,True
103851,True
81052,True
20015,False
89818,True
29084,False
13807,False
32995,False
11697,False
37704,False
73480,True
18281,False
46786,False
18181,False
77220,True
88418,True
103485,True
35981,False
21931,False
62413,True
95443,True
74407,True
69734,True
46582,False
20050,False
43493,False
34454,False
12984,False
3304,False
26834,False
27668,False
104450,True
39280,False
47662,False
69781,True
15359,False
72748,True
83165,True
12885,False
90191,True
35996,False
4905,False
70666,True
101579,True
45997,False
26602,False
74581,True
43501,False
99386,True
65413,True
72509,True
12544,False
54618,True
32909,False
56426,True
24425,False
84472,True
36184,False
47192,False
91454,True
51770,False
23326,False
79849,True
77637,True
36586,False
40316,False
103946,True
78061,True
54055,True
76010,True
26233,False
84618,True
41140,False
33061,False
84254,True
63714,True
55654,True
5376,False
33270,False
99052,True
79706,True
88654,True
71079,True
104752,True
1670,False
36988,False
29498,False
1227,False
95249,True
54203,True
23116,False
57508,True
13695,False
92762,True
11960,False
86497,True
5076,False
53004,False
26263,False
67282,True
57859,True
40026,False
105205,True
35579,False
102708,True
86210,True
103312,True
101888,True
2869,False
68911,True
2653,False
50584,False
73122,True
23177,False
46581,False
36091,False
95997,True
90690,True
66323,True
11727,False
15776,False
56077,True
54747,True
60108,True
89126,True
3795,False
9062,False
100732,True
13635,False
7166,False
100636,True
19055,False
41599,False
63363,True
19005,False
76499,True
53612,False
94318,True
62332,True
79255,True
24456,False
1905,False
3990,False
43652,False
70192,True
97965,True
7494,False
81739,True
70150,True
102308,True
79126,True
717,False
101993,True
10460,False
56270,True
102489,True
66694,True
35431,False
846,False
66433,True
39600,False
38655,False
13764,False
49525,False
59308,True
33941,False
2380,False
63824,True
34609,False
82612,True
57933,True
62474,True
16987,False
20604,False
66225,True
57542,True
76279,True
105219,True
83935,True
25715,False
43043,False
75474,True
5233,False
80153,True
11948,False
15043,False
16237,False
33912,False
39038,False
55446,True
34330,False
25074,False
87764,True
28303,False
31859,False
54305,True
69011,True
17208,False
97140,True
11364,False
74475,True
67844,True
21732,False
55110,True
14642,False
38827,False
2729,False
49571,False
56047,True
41856,False
58004,True
3252,False
50544,False
85622,True
40949,False
33549,False
99144,True
101254,True
8567,False
22957,False
43857,False
40618,False
99773,True
17006,False
28554,False
105403,True
25936,False
96579,True
5960,False
78001,True
23322,False
42457,False
87167,True
68500,True
61277,True
61573,True
31714,False
29618,False
61459,True
9174,False
104705,True
47659,False
11281,False
85440,True
16482,False
10908,False
31554,False
36878,False
100760,True
33525,False
69871,True
4587,False
4293,False
11741,False
59987,True
93786,True
67365,True
92868,True
51248,False
52829,False
69291,True
43539,False
3765,False
30128,False
24818,False
67658,True
30671,False
80943,True
105699,True
12405,False
88949,True
14995,False
39786,False
75341,True
102133,True
39460,False
13042,False
80091,True
38167,False
41802,False
34827,False
11087,False
3640,False
40671,False
46020,False
49566,False
95465,True
46368,False
79173,True
45176,False
8463,False
28842,False
67002,True
59680,True
10402,False
26935,False
42835,False
71896,True
99707,True
42310,False
49637,False
18364,False
45143,False
85296,True
80224,True
13297,False
77836,True
53150,False
95623,True
93641,True
15730,False
4348,False
103108,True
67053,True
24471,False
17077,False
47641,False
83340,True
44339,False
80540,True
18852,False
51132,False
4527,False
90988,True
47718,False
48675,False
19830,False
70867,True
104336,True
78471,True
70085,True
2260,False
49593,False
1873,False
56072,True
31809,False
61716,True
46701,False
85129,True
73862,True
1803,False
62686,True
9508,False
69392,True
96974,True
105376,True
44988,False
42181,False
52331,False
34650,False
94882,True
98668,True
75470,True
16634,False
7951,False
9749,False
69265,True
101145,True
75625,True
46963,False
42860,False
65030,True
101298,True
33013,False
70798,True
86456,True
39339,False
74789,True
40417,False
77814,True
86940,True
35802,False
80536,True
84592,True
80831,True
74070,True
92150,True
81142,True
82740,True
81533,True
66245,True
78507,True
82936,True
97751,True
44071,False
96699,True
85773,True
64353,True
54621,True
37941,False
103243,True
76843,True
18188,False
32951,False
101226,True
24103,False
90488,True
19051,False
88688,True
99741,True
9645,False
20679,False
63723,True
87386,True
97855,True
8836,False
45840,False
105346,True
7870,False
54057,True
78627,True
71715,True
11918,False
13168,False
